Battery,Biomass,Coal,Digester Gas,Gas,Geothermal,Hydro,Landfill Gas,MSW,Nuclear,Solar,Solar Thermal,Wind,Total
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,0.0,0.0,854.0
134.0,1361.0,769.0,217.0,68786.0,3307.0,14111.0,431.0,157.0,4390.0,14246.0,1752.0,9478.0,119139.0
0.0,0.0,0.0,0.0,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,2189.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,298.0
0.0,0.0,818.0,0.0,536.0,60.0,2335.0,0.0,0.0,0.0,766.0,0.0,0.0,4515.0
0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,2104.0
