Zip,Zip Percentage,Region,City,State,Year, Total Building Count , Total Roof Area (sq meters) , Total Potential Capacity with 10m2 minimum (kW) , Total potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - SMALL , Total Area in lidar (sq meters) - SMALL , Buildings - SMALL with any size available area , Area (sq meters) - SMALL with any size available area , Buildings - SMALL - with 10m2+ available area , Area (sq meters) - SMALL - with 10m2+ available area , Small building potential capacity with 10m2 minimum (kW) , Small building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - MEDIUM , Total Area in lidar (sq meters) - MEDIUM , Buildings - MEDIUM with any size available area , Area (sq meters) - MEDIUM with any size available area , Buildings - MEDIUM with 10m2+ available area , Area (sq meters) - MEDIUM with 10m2+ available area , Medium building potential capacity with 10m2 minimum (kW) , Medium building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - LARGE , Total Area in lidar (sq meters) - LARGE , Buildings - LARGE with any size available area , Area (sq meters) - LARGE with any size available area , Buildings - LARGE - with 10m2+ available area , Area (sq meters) - LARGE - with 10m2+ available area , Large building potential capacity with 10m2 minimum (kW) , Large building potential energy generation with 10m2 minimum (kWh/yr) , Average Building Footprint (sq meters) ,% Buildings in SMALL category,% Area in SMALL category,% Buildings in MEDIUM category,% Area in MEDIUM category,% Buildings in LARGE category,% Area in LARGE category,% Buildings - SMALL,% Area - SMALL,% Buildings - SMALL - 10m2 ,% Area - SMALL - 10m2 ,% Buildings - MEDIUM,% Area - MEDIUM,% Buildings - MEDIUM - 10m2 ,% Area - MEDIUM - 10m2 ,% Buildings - LARGE,% Area - LARGE,% Buildings - LARGE - 10m2 ,% Area - LARGE - 10m2 ,ulocaledesc,2010_PopDens_SqMile,CensusRegion
1001,1,Springfield,  -   ,MA,2013,"  5,942 ","  1,539,046 ","67,556.30","73,369,500.00","5,547.00","841,766.98","4,963.00","140,651.28","2,428.00","90,464.34","15,836.00","17,222,200.00",332.00,"316,442.35",332.00,"158,530.15",314.00,"146,911.15","18,568.50","20,144,300.00",63.00,"380,837.01",63.00,"296,735.41",63.00,"289,371.00","33,151.80","36,003,000.00",259.01,93.4%,54.7%,5.6%,20.6%,1.1%,24.7%,89.5%,16.7%,43.8%,10.7%,100.0%,50.1%,94.6%,46.4%,100.0%,77.9%,100.0%,76.0%,Suburb Large,1412.617802,New England
1013,1,Springfield,  -   ,MA,2013,"  6,812 ","  1,261,220 ","49,915.03","56,005,600.00","6,614.00","906,649.02","6,264.00","205,486.01","3,774.00","143,370.74","24,048.20","26,996,500.00",170.00,"159,520.15",170.00,"83,369.81",165.00,"77,314.53","9,670.93","10,822,700.00",28.00,"195,051.30",28.00,"138,849.61",28.00,"135,403.79","16,195.90","18,186,400.00",185.15,97.1%,71.9%,2.5%,12.6%,0.4%,15.5%,94.7%,22.7%,57.1%,15.8%,100.0%,52.3%,97.1%,48.5%,100.0%,71.2%,100.0%,69.4%,Suburb Large,3762.096293,New England
1020,1,Springfield,  -   ,MA,2013,"  10,847 ","  2,036,520 ","80,375.20","90,141,700.00","10,500.00","1,393,172.17","9,793.00","283,644.17","5,054.00","185,165.75","31,226.20","35,025,800.00",294.00,"264,551.22",293.00,"137,559.55",279.00,"128,158.30","15,994.80","17,902,400.00",53.00,"378,796.50",53.00,"296,852.64",53.00,"290,332.49","33,154.20","37,213,500.00",187.75,96.8%,68.4%,2.7%,13.0%,0.5%,18.6%,93.3%,20.4%,48.1%,13.3%,99.7%,52.0%,94.9%,48.4%,100.0%,78.4%,100.0%,76.6%,Suburb Large,2164.667728,New England
1022,1,Springfield,  -   ,MA,2013,  776 ,"  587,934 ","42,603.75","47,683,720.00",608.00,"131,479.98",595.00,"32,721.64",398.00,"24,268.18","4,162.79","4,641,290.00",109.00,"100,941.32",109.00,"57,702.76",107.00,"54,054.75","6,772.56","7,575,530.00",59.00,"355,513.16",59.00,"273,778.97",59.00,"269,029.27","31,668.40","35,466,900.00",757.65,78.4%,22.4%,14.0%,17.2%,7.6%,60.5%,97.9%,24.9%,65.5%,18.5%,100.0%,57.2%,98.2%,53.6%,100.0%,77.0%,100.0%,75.7%,Suburb Large,1040.760658,New England
1027,0.04724629372,Springfield,  -   ,MA,2013,  982 ,"  156,942 ","2,698.67","2,966,631.00",976.00,"151,714.91",913.00,"21,843.20",401.00,"13,468.23","2,498.84","2,748,410.00",5.00,"2,813.09",5.00,837.73,5.00,690.94,107.22,"115,076.00",1.00,"2,413.72",1.00,739.72,1.00,577.99,92.62,"103,145.00",159.82,99.4%,96.7%,0.5%,1.8%,0.1%,1.5%,93.5%,14.4%,41.1%,8.9%,100.0%,29.8%,100.0%,24.6%,100.0%,30.6%,100.0%,23.9%,Suburb Large,421.1966117,New England
1028,0.9452947086,Springfield,  -   ,MA,2013,"  6,264 ","  1,582,350 ","66,211.51","74,249,740.00","6,044.00","980,849.84","5,550.00","143,924.01","2,384.00","87,193.75","15,820.10","17,669,700.00",176.00,"155,211.42",176.00,"73,545.42",163.00,"66,610.17","8,380.91","9,379,840.00",44.00,"446,288.57",44.00,"377,751.42",44.00,"371,678.94","42,010.50","47,200,200.00",252.61,96.5%,62.0%,2.8%,9.8%,0.7%,28.2%,91.8%,14.7%,39.4%,8.9%,100.0%,47.4%,92.6%,42.9%,100.0%,84.6%,100.0%,83.3%,Suburb Large,1166.540114,New England
1030,0.8242979464,Springfield,  -   ,MA,2007,"  3,747 ","  604,437 ","14,348.74","15,669,950.00","3,679.00","526,027.67","3,384.00","89,727.49","1,635.00","56,933.38","10,046.60","10,997,500.00",63.00,"55,007.03",63.00,"20,680.58",59.00,"18,050.43","2,369.61","2,572,550.00",5.00,"23,402.25",5.00,"17,131.35",5.00,"16,636.68","1,932.53","2,099,900.00",161.31,98.2%,87.0%,1.7%,9.1%,0.1%,3.9%,92.0%,17.1%,44.4%,10.8%,100.0%,37.6%,93.7%,32.8%,100.0%,73.2%,100.0%,71.1%,Suburb Large,940.1260414,New England
1033,0.1716781583,Springfield,  -   ,MA,2013,  674 ,"  142,586 ","5,596.35","6,261,780.00",652.00,"100,147.41",611.00,"18,158.45",295.00,"10,981.48","1,997.17","2,230,650.00",18.00,"17,532.73",18.00,"9,912.83",17.00,"9,175.74","1,164.30","1,296,990.00",4.00,"24,905.49",4.00,"21,900.27",4.00,"21,559.76","2,434.88","2,734,140.00",211.55,96.7%,70.2%,2.7%,12.3%,0.6%,17.5%,93.7%,18.1%,45.2%,11.0%,100.0%,56.5%,94.4%,52.3%,100.0%,87.9%,100.0%,86.6%,Rural Fringe,233.9300122,New England
1036,0.00820545606,Springfield,  -   ,MA,2013,  48 ,"  10,790 ",149.88,"172,395.10",45.00,"9,375.84",44.00,"1,248.76",19.00,630.92,123.29,"141,630.00",3.00,"1,413.91",3.00,255.64,3.00,131.70,26.59,"30,765.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.79,93.8%,86.9%,6.3%,13.1%,0.0%,0.0%,97.8%,13.3%,42.2%,6.7%,100.0%,18.1%,100.0%,9.3%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Suburb Large,261.5125829,New England
1040,0.7575110902,Springfield,  -   ,MA,2013,"  8,434 ","  2,505,795 ","120,094.90","130,497,000.00","7,828.00","1,201,591.95","7,407.00","232,163.80","3,961.00","154,244.79","25,329.30","27,589,000.00",490.00,"459,223.92",490.00,"241,424.47",470.00,"225,246.52","27,183.90","29,492,000.00",116.00,"844,979.33",116.00,"608,389.60",116.00,"587,970.03","67,581.70","73,416,000.00",297.11,92.8%,48.0%,5.8%,18.3%,1.4%,33.7%,94.6%,19.3%,50.6%,12.8%,100.0%,52.6%,95.9%,49.0%,100.0%,72.0%,100.0%,69.6%,Suburb Large,1765.852874,New England
1056,0.6238812438,Springfield,  -   ,MA,2007,"  6,183 ","  1,207,075 ","43,286.43","48,490,950.00","5,960.00","830,580.36","5,580.00","152,236.41","2,805.00","98,145.96","16,530.00","18,484,000.00",183.00,"159,941.03",182.00,"75,241.03",173.00,"68,750.05","8,784.63","9,812,950.00",40.00,"216,553.25",40.00,"161,902.44",40.00,"157,796.73","17,971.80","20,194,000.00",195.22,96.4%,68.8%,3.0%,13.3%,0.6%,17.9%,93.6%,18.3%,47.1%,11.8%,99.5%,47.0%,94.5%,43.0%,100.0%,74.8%,100.0%,72.9%,Rural Fringe,744.7501374,New England
1073,0.06474528381,Springfield,  -   ,MA,2007,  391 ,"  65,152 ","1,296.47","1,419,659.00",384.00,"58,023.19",324.00,"8,421.68",144.00,"5,199.48",895.11,"981,868.00",6.00,"4,407.48",6.00,"1,332.67",6.00,958.53,164.22,"180,156.00",1.00,"2,721.63",1.00,"2,141.65",1.00,"2,111.00",237.15,"257,635.00",166.63,98.2%,89.1%,1.5%,6.8%,0.3%,4.2%,84.4%,14.5%,37.5%,9.0%,100.0%,30.2%,100.0%,21.7%,100.0%,78.7%,100.0%,77.6%,Rural Distant,197.4413371,New England
1075,0.3542511229,Springfield,  -   ,MA,2013,"  3,681 ","  763,590 ","24,495.42","27,504,810.00","3,500.00","523,616.72","3,130.00","83,357.49","1,448.00","52,370.29","9,219.78","10,393,800.00",168.00,"136,211.67",168.00,"58,032.67",161.00,"52,058.07","6,955.14","7,772,980.00",13.00,"103,761.35",13.00,"74,880.61",13.00,"72,077.18","8,320.50","9,338,030.00",207.44,95.1%,68.6%,4.6%,17.8%,0.4%,13.6%,89.4%,15.9%,41.4%,10.0%,100.0%,42.6%,95.8%,38.2%,100.0%,72.2%,100.0%,69.5%,Suburb Large,1001.045823,New England
1077,0.1186489033,Springfield,  -   ,MA,2007,  300 ,"  106,866 ","5,941.73","6,435,131.00",267.00,"39,807.83",245.00,"5,734.66",112.00,"3,797.72",661.57,"719,531.00",28.00,"18,858.33",28.00,"6,683.27",27.00,"6,174.22","1,020.48","1,084,110.00",5.00,"48,200.11",5.00,"38,499.55",5.00,"37,710.23","4,259.68","4,631,490.00",356.22,89.0%,37.3%,9.3%,17.6%,1.7%,45.1%,91.8%,14.4%,41.9%,9.5%,100.0%,35.4%,96.4%,32.7%,100.0%,79.9%,100.0%,78.2%,Suburb Large,302.1102764,New England
1085,0.4148612112,Springfield,  -   ,MA,2007,"  10,369 ","  2,529,015 ","111,798.90","121,448,800.00","9,849.00","1,364,161.48","8,733.00","210,443.20","3,765.00","133,295.92","22,603.10","24,534,700.00",429.00,"416,683.48",429.00,"209,982.59",411.00,"195,784.70","24,465.40","26,534,200.00",91.00,"748,170.02",91.00,"582,307.85",91.00,"567,925.69","64,730.40","70,379,900.00",243.90,95.0%,53.9%,4.1%,16.5%,0.9%,29.6%,88.7%,15.4%,38.2%,9.8%,100.0%,50.4%,95.8%,47.0%,100.0%,77.8%,100.0%,75.9%,Suburb Large,637.5100708,New England
1089,0.9702812865,Springfield,  -   ,MA,2013,"  9,467 ","  2,408,025 ","102,309.50","111,088,000.00","8,875.00","1,349,211.08","8,080.00","222,585.39","3,739.00","145,037.03","24,202.50","26,290,500.00",498.00,"467,552.71",498.00,"248,905.85",481.00,"231,177.17","28,599.20","31,023,800.00",94.00,"591,260.91",94.00,"441,632.99",94.00,"428,355.51","49,507.80","53,773,700.00",254.36,93.7%,56.0%,5.3%,19.4%,1.0%,24.6%,91.0%,16.5%,42.1%,10.7%,100.0%,53.2%,96.6%,49.4%,100.0%,74.7%,100.0%,72.4%,Suburb Large,1637.444869,New England
1095,0.2477196339,Springfield,  -   ,MA,2007,"  1,779 ","  446,979 ","14,886.86","16,633,670.00","1,666.00","270,904.65","1,481.00","34,903.53",640.00,"22,491.09","3,912.20","4,409,360.00",94.00,"81,694.09",94.00,"33,297.96",85.00,"29,704.10","4,100.97","4,542,990.00",19.00,"94,380.45",19.00,"61,735.24",19.00,"58,874.31","6,873.69","7,681,320.00",251.25,93.6%,60.6%,5.3%,18.3%,1.1%,21.1%,88.9%,12.9%,38.4%,8.3%,100.0%,40.8%,90.4%,36.4%,100.0%,65.4%,100.0%,62.4%,Suburb Large,646.4505519,New England
1103,1,Springfield,"Springfield, MA",MA,2013,  137 ,"  269,196 ","16,470.08","17,875,907.00",27.00,"6,881.41",26.00,"2,720.07",23.00,"2,288.01",300.03,"325,317.00",76.00,"89,348.71",76.00,"50,737.13",76.00,"47,949.22","5,184.35","5,620,990.00",34.00,"172,965.86",34.00,"95,489.20",34.00,"90,457.31","10,985.70","11,929,600.00","1,964.93",19.7%,2.6%,55.5%,33.2%,24.8%,64.3%,96.3%,39.5%,85.2%,33.2%,100.0%,56.8%,100.0%,53.7%,100.0%,55.2%,100.0%,52.3%,City Midsize,4912.050774,New England
1104,1,Springfield,"Springfield, MA",MA,2013,"  6,563 ","  1,608,680 ","94,023.70","105,329,300.00","6,229.00","687,295.27","5,765.00","142,857.47","3,177.00","103,846.87","14,268.40","15,836,700.00",230.00,"245,537.78",230.00,"160,408.65",230.00,"153,794.82","18,162.20","20,361,200.00",104.00,"675,846.87",104.00,"535,622.49",104.00,"521,770.46","61,593.10","69,131,400.00",245.11,94.9%,42.7%,3.5%,15.3%,1.6%,42.0%,92.6%,20.8%,51.0%,15.1%,100.0%,65.3%,100.0%,62.6%,100.0%,79.3%,100.0%,77.2%,City Midsize,4388.161394,New England
1105,1,Springfield,"Springfield, MA",MA,2013,"  1,548 ","  549,545 ","30,664.07","34,278,620.00","1,319.00","222,584.24","1,298.00","71,771.32",982.00,"58,755.39","8,407.30","9,362,140.00",203.00,"205,285.57",203.00,"119,478.09",201.00,"112,935.52","13,392.40","15,002,600.00",26.00,"121,674.92",26.00,"75,895.33",26.00,"72,815.40","8,864.37","9,913,880.00",355.00,85.2%,40.5%,13.1%,37.4%,1.7%,22.1%,98.4%,32.2%,74.5%,26.4%,100.0%,58.2%,99.0%,55.0%,100.0%,62.4%,100.0%,59.8%,City Midsize,8769.639915,New England
1106,1,Springfield,  -   ,MA,2013,"  5,872 ","  1,337,738 ","20,968.20","25,480,160.00","5,711.00","1,107,616.29","4,773.00","88,728.98","1,484.00","47,721.91","8,891.16","10,916,900.00",144.00,"111,495.68",144.00,"32,239.74",110.00,"27,911.43","3,962.16","4,786,840.00",17.00,"118,625.69",17.00,"70,735.00",17.00,"66,895.28","8,114.88","9,776,420.00",227.82,97.3%,82.8%,2.5%,8.3%,0.3%,8.9%,83.6%,8.0%,26.0%,4.3%,100.0%,28.9%,76.4%,25.0%,100.0%,59.6%,100.0%,56.4%,Suburb Large,1750.525454,New England
1107,1,Springfield,"Springfield, MA",MA,2013,"  1,837 ","  514,459 ","25,787.53","27,963,120.00","1,733.00","234,314.70","1,597.00","43,580.71",877.00,"30,153.94","5,110.15","5,492,670.00",77.00,"79,574.13",77.00,"47,626.19",73.00,"45,029.81","5,333.18","5,794,150.00",27.00,"200,570.22",27.00,"138,943.50",27.00,"134,041.31","15,344.20","16,676,300.00",280.05,94.3%,45.5%,4.2%,15.5%,1.5%,39.0%,92.2%,18.6%,50.6%,12.9%,100.0%,59.9%,94.8%,56.6%,100.0%,69.3%,100.0%,66.8%,City Midsize,6465.420321,New England
1108,1,Springfield,"Springfield, MA",MA,2013,"  6,182 ","  997,270 ","26,676.96","29,782,100.00","6,020.00","820,743.77","5,579.00","143,383.85","2,938.00","90,918.36","16,347.70","18,196,500.00",149.00,"119,444.32",148.00,"56,372.85",142.00,"52,328.11","6,435.62","7,210,220.00",13.00,"57,082.34",13.00,"34,774.92",13.00,"33,242.23","3,893.64","4,375,380.00",161.32,97.4%,82.3%,2.4%,12.0%,0.2%,5.7%,92.7%,17.5%,48.8%,11.1%,99.3%,47.2%,95.3%,43.8%,100.0%,60.9%,100.0%,58.2%,City Midsize,7216.42055,New England
1109,1,Springfield,"Springfield, MA",MA,2013,"  7,391 ","  1,279,383 ","45,990.80","51,466,200.00","7,124.00","853,035.65","6,564.00","150,543.69","3,033.00","94,321.09","16,432.50","18,372,100.00",232.00,"214,334.52",232.00,"119,307.67",226.00,"111,688.16","13,492.90","15,094,900.00",35.00,"212,012.45",35.00,"143,006.18",35.00,"137,400.05","16,065.40","17,999,200.00",173.10,96.4%,66.7%,3.1%,16.8%,0.5%,16.6%,92.1%,17.6%,42.6%,11.1%,100.0%,55.7%,97.4%,52.1%,100.0%,67.5%,100.0%,64.8%,City Midsize,5450.831852,New England
1118,1,Springfield,"Springfield, MA",MA,2013,"  5,377 ","  761,613 ","16,889.16","18,962,190.00","5,305.00","614,987.65","4,682.00","75,377.25","1,353.00","39,023.89","6,993.98","7,855,190.00",57.00,"49,455.17",57.00,"17,089.12",50.00,"15,151.68","2,016.84","2,252,720.00",15.00,"97,169.76",15.00,"71,516.82",15.00,"68,667.71","7,878.34","8,854,280.00",141.64,98.7%,80.7%,1.1%,6.5%,0.3%,12.8%,88.3%,12.3%,25.5%,6.3%,100.0%,34.6%,87.7%,30.6%,100.0%,73.6%,100.0%,70.7%,City Midsize,3665.74066,New England
1119,1,Springfield,"Springfield, MA",MA,2013,"  4,709 ","  676,313 ","18,639.64","20,942,480.00","4,603.00","518,134.74","4,103.00","77,422.35","1,459.00","44,531.31","7,577.25","8,536,050.00",90.00,"72,487.65",90.00,"32,634.06",84.00,"29,411.14","3,720.32","4,163,880.00",16.00,"85,691.05",16.00,"64,987.65",16.00,"63,174.66","7,342.07","8,242,550.00",143.62,97.7%,76.6%,1.9%,10.7%,0.3%,12.7%,89.1%,14.9%,31.7%,8.6%,100.0%,45.0%,93.3%,40.6%,100.0%,75.8%,100.0%,73.7%,City Midsize,3677.678047,New England
1128,1,Springfield,"Springfield, MA",MA,2013,"  1,197 ","  193,677 ","4,189.69","4,739,473.00","1,185.00","163,941.10","1,052.00","19,114.49",342.00,"11,124.17","1,909.02","2,177,940.00",9.00,"6,703.35",9.00,"3,383.59",8.00,"3,040.81",360.58,"403,113.00",3.00,"23,032.73",3.00,"17,318.51",3.00,"16,891.12","1,920.09","2,158,420.00",161.80,99.0%,84.6%,0.8%,3.5%,0.3%,11.9%,88.8%,11.7%,28.9%,6.8%,100.0%,50.5%,88.9%,45.4%,100.0%,75.2%,100.0%,73.3%,City Midsize,2102.684917,New England
1129,1,Springfield,"Springfield, MA",MA,2013,"  2,592 ","  559,302 ","22,927.59","25,763,520.00","2,512.00","347,821.91","2,292.00","58,309.00",978.00,"37,947.20","6,318.06","7,118,380.00",64.00,"60,625.14",64.00,"34,131.91",62.00,"31,444.36","3,863.23","4,328,940.00",16.00,"150,855.41",16.00,"114,902.46",16.00,"111,470.05","12,746.30","14,316,200.00",215.78,96.9%,62.2%,2.5%,10.8%,0.6%,27.0%,91.2%,16.8%,38.9%,10.9%,100.0%,56.3%,96.9%,51.9%,100.0%,76.2%,100.0%,73.9%,City Midsize,2430.149528,New England
1144,1,Springfield,"Springfield, MA",MA,2013,  1 ,"  2,522 ",111.43,"120,376.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"2,522.34",1.00,"1,051.68",1.00,912.98,111.43,"120,376.00","2,522.34",0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100.0%,41.7%,100.0%,36.2%,City Midsize,3977.151503,New England
1151,1,Springfield,"Springfield, MA",MA,2013,"  2,879 ","  597,703 ","28,948.14","32,486,610.00","2,768.00","316,945.96","2,535.00","69,460.80","1,256.00","48,323.10","7,561.77","8,473,700.00",85.00,"73,655.03",85.00,"39,503.19",84.00,"37,030.00","4,514.57","5,062,410.00",26.00,"207,102.23",26.00,"152,236.27",26.00,"148,249.51","16,871.80","18,950,500.00",207.61,96.1%,53.0%,3.0%,12.3%,0.9%,34.6%,91.6%,21.9%,45.4%,15.2%,100.0%,53.6%,98.8%,50.3%,100.0%,73.5%,100.0%,71.6%,City Midsize,3259.273442,New England
1501,0.9582724824,Worcester,  -   ,MA,2009,"  6,402 ","  1,431,547 ","85,342.90","105,406,200.00","6,142.00","823,294.48","5,887.00","236,618.33","4,328.00","172,209.95","30,717.90","37,191,700.00",195.00,"189,777.60",195.00,"126,865.08",195.00,"119,749.63","14,806.60","18,383,000.00",65.00,"418,475.27",65.00,"350,870.97",65.00,"343,300.36","39,818.40","49,831,500.00",223.61,95.9%,57.5%,3.0%,13.3%,1.0%,29.2%,95.8%,28.7%,70.5%,20.9%,100.0%,66.8%,100.0%,63.1%,100.0%,83.8%,100.0%,82.0%,Suburb Large,950.956004,New England
1505,0.3890649428,Worcester,  -   ,MA,2009,"  1,161 ","  234,697 ","10,683.25","13,087,260.00","1,110.00","173,769.98","1,059.00","46,605.20",771.00,"33,820.63","6,168.86","7,483,960.00",44.00,"33,308.87",44.00,"17,230.65",44.00,"15,345.31","2,171.64","2,675,880.00",7.00,"27,618.42",7.00,"20,894.78",7.00,"20,044.36","2,342.75","2,927,420.00",202.15,95.6%,74.0%,3.8%,14.2%,0.6%,11.8%,95.4%,26.8%,69.5%,19.5%,100.0%,51.7%,100.0%,46.1%,100.0%,75.7%,100.0%,72.6%,Suburb Large,232.0985917,New England
1519,0.421652941,Worcester,  -   ,MA,2009,"  1,487 ","  277,970 ","12,691.65","15,448,020.00","1,456.00","240,179.50","1,423.00","70,591.19","1,170.00","51,959.21","9,784.21","11,862,300.00",27.00,"18,251.30",27.00,"8,712.27",27.00,"7,523.67","1,178.21","1,414,610.00",4.00,"19,539.48",4.00,"15,418.67",4.00,"14,896.93","1,729.23","2,171,110.00",186.93,97.9%,86.4%,1.8%,6.6%,0.3%,7.0%,97.7%,29.4%,80.4%,21.6%,100.0%,47.7%,100.0%,41.2%,100.0%,78.9%,100.0%,76.2%,Suburb Large,679.8640556,New England
1520,0.6378624155,Worcester,  -   ,MA,2009,"  3,304 ","  633,964 ","29,866.31","36,360,150.00","3,210.00","493,805.05","3,162.00","137,757.43","2,467.00","97,162.08","17,950.00","21,638,000.00",81.00,"71,726.24",81.00,"41,783.88",81.00,"38,225.20","5,383.80","6,528,510.00",13.00,"68,432.80",13.00,"58,095.46",13.00,"56,567.01","6,532.51","8,193,640.00",191.88,97.2%,77.9%,2.5%,11.3%,0.4%,10.8%,98.5%,27.9%,76.9%,19.7%,100.0%,58.3%,100.0%,53.3%,100.0%,84.9%,100.0%,82.7%,Suburb Large,652.1274907,New England
1522,0.02624501737,Worcester,  -   ,MA,2009,  1 ,  82 ,2.89,"3,139.50",1.00,82.45,1.00,28.42,1.00,16.24,2.89,"3,139.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.45,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,34.5%,100.0%,19.7%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Suburb Large,305.5054828,New England
1524,0.2551103433,Worcester,  -   ,MA,2009,  429 ,"  66,431 ","2,922.84","3,551,333.00",418.00,"57,565.01",408.00,"17,821.66",323.00,"13,027.44","2,310.77","2,811,230.00",11.00,"8,865.61",11.00,"4,839.47",11.00,"4,255.88",612.07,"740,103.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.85,97.4%,86.7%,2.6%,13.3%,0.0%,0.0%,97.6%,31.0%,77.3%,22.6%,100.0%,54.6%,100.0%,48.0%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Suburb Large,441.9836895,New England
1527,0.9067496526,Worcester,  -   ,MA,2009,"  4,468 ","  915,898 ","49,302.85","60,761,260.00","4,315.00","584,423.94","4,178.00","164,783.30","3,145.00","119,875.33","21,865.70","26,566,200.00",120.00,"101,142.09",120.00,"59,015.49",120.00,"54,240.15","7,447.75","9,200,260.00",33.00,"230,332.29",33.00,"179,180.91",33.00,"171,922.65","19,989.40","24,994,800.00",204.99,96.6%,63.8%,2.7%,11.0%,0.7%,25.1%,96.8%,28.2%,72.9%,20.5%,100.0%,58.3%,100.0%,53.6%,100.0%,77.8%,100.0%,74.6%,Suburb Large,812.6654878,New England
1532,0.00215921092,Worcester,  -   ,MA,2009,  6 ,"  1,335 ",62.72,"74,759.50",6.00,"1,334.65",6.00,386.84,6.00,303.17,62.72,"74,759.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.44,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,29.0%,100.0%,22.7%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Suburb Large,749.2785762,New England
1536,0.6390140582,Worcester,  -   ,MA,2009,"  1,903 ","  461,661 ","26,536.36","32,680,610.00","1,771.00","247,695.75","1,719.00","71,324.71","1,285.00","52,455.10","9,378.74","11,344,000.00",121.00,"93,027.35",121.00,"47,511.65",119.00,"42,707.84","6,107.62","7,505,610.00",11.00,"120,937.84",11.00,"95,836.02",11.00,"93,566.14","11,050.00","13,831,000.00",242.60,93.1%,53.7%,6.4%,20.2%,0.6%,26.2%,97.1%,28.8%,72.6%,21.2%,100.0%,51.1%,98.3%,45.9%,100.0%,79.2%,100.0%,77.4%,Suburb Large,704.4883338,New England
1537,0.3239154133,Worcester,  -   ,MA,2009,  356 ,"  88,286 ","5,305.56","6,561,980.00",317.00,"41,651.02",297.00,"12,509.26",223.00,"9,874.12","1,702.47","2,067,700.00",38.00,"34,571.24",38.00,"20,646.26",38.00,"19,431.25","2,391.93","2,972,780.00",1.00,"12,063.91",1.00,"10,777.84",1.00,"10,620.67","1,211.16","1,521,500.00",247.99,89.0%,47.2%,10.7%,39.2%,0.3%,13.7%,93.7%,30.0%,70.3%,23.7%,100.0%,59.7%,100.0%,56.2%,100.0%,89.3%,100.0%,88.0%,Suburb Large,324.1465458,New England
1542,0.3598241525,Worcester,  -   ,MA,2009,  234 ,"  42,547 ","2,093.67","2,540,224.00",226.00,"32,903.98",219.00,"9,578.44",151.00,"7,276.02","1,339.91","1,602,830.00",7.00,"5,687.03",7.00,"3,713.41",7.00,"3,522.19",425.83,"529,415.00",1.00,"3,956.33",1.00,"2,867.66",1.00,"2,717.12",327.93,"407,979.00",181.83,96.6%,77.3%,3.0%,13.4%,0.4%,9.3%,96.9%,29.1%,66.8%,22.1%,100.0%,65.3%,100.0%,61.9%,100.0%,72.5%,100.0%,68.7%,Suburb Large,431.156363,New England
1545,0.8653517366,Worcester,  -   ,MA,2009,"  10,070 ","  2,131,322 ","112,628.00","137,431,900.00","9,702.00","1,484,804.30","9,489.00","433,524.31","7,538.00","312,581.92","58,219.20","70,193,500.00",316.00,"292,502.61",316.00,"178,368.23",316.00,"162,723.12","22,250.10","27,068,200.00",52.00,"354,015.36",52.00,"284,958.25",52.00,"275,226.86","32,158.70","40,170,200.00",211.65,96.3%,69.7%,3.1%,13.7%,0.5%,16.6%,97.8%,29.2%,77.7%,21.1%,100.0%,61.0%,100.0%,55.6%,100.0%,80.5%,100.0%,77.7%,Suburb Large,1584.431732,New England
1560,0.432173656,Worcester,  -   ,MA,2009,  709 ,"  115,340 ","5,935.57","7,122,240.00",693.00,"98,255.26",681.00,"32,791.55",555.00,"24,897.74","4,635.96","5,531,440.00",14.00,"9,956.00",14.00,"5,252.98",14.00,"4,705.51",680.33,"823,392.00",2.00,"7,129.22",2.00,"4,864.21",2.00,"4,621.10",619.28,"767,408.00",162.68,97.7%,85.2%,2.0%,8.6%,0.3%,6.2%,98.3%,33.4%,80.1%,25.3%,100.0%,52.8%,100.0%,47.3%,100.0%,68.2%,100.0%,64.8%,Suburb Large,1098.024667,New England
