Zip,Zip Percentage,Region,City,State,Year, Total Building Count , Total Roof Area (sq meters) , Total Potential Capacity with 10m2 minimum (kW) , Total potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - SMALL , Total Area in lidar (sq meters) - SMALL , Buildings - SMALL with any size available area , Area (sq meters) - SMALL with any size available area , Buildings - SMALL - with 10m2+ available area , Area (sq meters) - SMALL - with 10m2+ available area , Small building potential capacity with 10m2 minimum (kW) , Small building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - MEDIUM , Total Area in lidar (sq meters) - MEDIUM , Buildings - MEDIUM with any size available area , Area (sq meters) - MEDIUM with any size available area , Buildings - MEDIUM with 10m2+ available area , Area (sq meters) - MEDIUM with 10m2+ available area , Medium building potential capacity with 10m2 minimum (kW) , Medium building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - LARGE , Total Area in lidar (sq meters) - LARGE , Buildings - LARGE with any size available area , Area (sq meters) - LARGE with any size available area , Buildings - LARGE - with 10m2+ available area , Area (sq meters) - LARGE - with 10m2+ available area , Large building potential capacity with 10m2 minimum (kW) , Large building potential energy generation with 10m2 minimum (kWh/yr) , Average Building Footprint (sq meters) ,% Buildings in SMALL category,% Area in SMALL category,% Buildings in MEDIUM category,% Area in MEDIUM category,% Buildings in LARGE category,% Area in LARGE category,% Buildings - SMALL,% Area - SMALL,% Buildings - SMALL - 10m2 ,% Area - SMALL - 10m2 ,% Buildings - MEDIUM,% Area - MEDIUM,% Buildings - MEDIUM - 10m2 ,% Area - MEDIUM - 10m2 ,% Buildings - LARGE,% Area - LARGE,% Buildings - LARGE - 10m2 ,% Area - LARGE - 10m2 ,ulocaledesc,2010_PopDens_SqMile,CensusRegion
90254,1,LosAngeles,  -   ,CA,2007,"  6,249 ","  1,033,918 ","47,427.48","72,583,020.00","6,090.00","825,979.91","6,088.00","336,320.99","5,174.00","241,603.69","32,733.50","49,878,300.00",138.00,"124,956.13",138.00,"76,377.60",138.00,"68,994.60","8,320.68","12,835,700.00",21.00,"82,981.97",21.00,"56,598.65",21.00,"53,069.62","6,373.30","9,869,020.00",165.45,97.5%,79.9%,2.2%,12.1%,0.3%,8.0%,100.0%,40.7%,85.0%,29.3%,100.0%,61.1%,100.0%,55.2%,100.0%,68.2%,100.0%,64.0%,Suburb Large,11362.08248,Pacific
90255,1,LosAngeles,  -   ,CA,2007,"  13,152 ","  2,573,341 ","165,205.10","250,256,300.00","12,573.00","1,603,918.57","12,562.00","800,389.51","11,746.00","614,334.97","88,931.80","133,777,000.00",497.00,"452,182.41",497.00,"284,582.64",497.00,"263,576.10","33,781.90","51,566,300.00",82.00,"517,239.53",82.00,"357,563.65",82.00,"340,404.72","42,491.40","64,913,000.00",195.66,95.6%,62.3%,3.8%,17.6%,0.6%,20.1%,99.9%,49.9%,93.4%,38.3%,100.0%,62.9%,100.0%,58.3%,100.0%,69.1%,100.0%,65.8%,City Large,20019.72623,Pacific
90260,1,LosAngeles,  -   ,CA,2007,"  8,380 ","  1,432,272 ","88,137.60","131,989,800.00","8,109.00","1,021,458.89","8,097.00","474,970.04","7,153.00","350,880.77","55,036.90","80,937,500.00",244.00,"219,114.46",244.00,"140,900.57",244.00,"130,907.49","16,088.20","24,679,000.00",27.00,"191,698.40",27.00,"151,531.13",27.00,"146,901.43","17,012.50","26,373,300.00",170.92,96.8%,71.3%,2.9%,15.3%,0.3%,13.4%,99.9%,46.5%,88.2%,34.4%,100.0%,64.3%,100.0%,59.7%,100.0%,79.0%,100.0%,76.6%,Suburb Large,13690.96349,Pacific
90261,1,LosAngeles,  -   ,CA,2007,  41 ,"  46,724 ","2,755.20","4,211,453.00",19.00,"5,331.10",19.00,"2,028.31",18.00,"1,655.14",269.99,"392,913.00",18.00,"18,907.73",18.00,"8,411.10",18.00,"6,828.06",987.34,"1,482,470.00",4.00,"22,485.52",4.00,"14,058.03",4.00,"13,056.65","1,497.87","2,336,070.00","1,139.62",46.3%,11.4%,43.9%,40.5%,9.8%,48.1%,100.0%,38.0%,94.7%,31.0%,100.0%,44.5%,100.0%,36.1%,100.0%,62.5%,100.0%,58.1%,Suburb Large,4780.934701,Pacific
90262,1,LosAngeles,  -   ,CA,2007,"  12,809 ","  2,325,538 ","127,798.90","189,790,100.00","12,382.00","1,617,943.91","12,368.00","707,098.11","10,727.00","476,514.86","71,898.90","105,708,000.00",362.00,"341,262.18",362.00,"213,086.58",362.00,"192,358.07","24,051.90","36,079,600.00",65.00,"366,332.03",65.00,"269,761.48",65.00,"258,684.18","31,848.10","48,002,500.00",181.56,96.7%,69.6%,2.8%,14.7%,0.5%,15.8%,99.9%,43.7%,86.6%,29.5%,100.0%,62.4%,100.0%,56.4%,100.0%,73.6%,100.0%,70.6%,Suburb Large,14176.75378,Pacific
90265,0.01029731434,Oxnard,  -   ,CA,2010,  7 ,  914 ,50.14,"77,527.30",7.00,914.34,7.00,374.99,4.00,312.83,50.14,"77,527.30",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.62,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,41.0%,57.1%,34.2%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,City Small,172.1554189,Pacific
90266,1,LosAngeles,  -   ,CA,2007,"  13,598 ","  2,864,842 ","154,255.90","233,481,900.00","13,140.00","2,119,277.22","13,123.00","909,380.10","11,681.00","676,953.63","98,812.70","147,958,000.00",383.00,"335,754.21",383.00,"190,140.47",379.00,"169,859.70","21,915.60","33,586,600.00",75.00,"409,811.01",75.00,"299,113.27",75.00,"286,563.23","33,527.60","51,937,300.00",210.68,96.6%,74.0%,2.8%,11.7%,0.6%,14.3%,99.9%,42.9%,88.9%,31.9%,100.0%,56.6%,99.0%,50.6%,100.0%,73.0%,100.0%,69.9%,Suburb Large,6230.666991,Pacific
90270,1,LosAngeles,  -   ,CA,2007,"  4,753 ","  722,886 ","40,692.47","60,920,840.00","4,636.00","556,700.33","4,633.00","265,777.37","4,205.00","184,479.17","28,210.80","41,879,500.00",100.00,"86,235.20",100.00,"52,306.06",100.00,"46,936.37","5,947.90","9,059,500.00",17.00,"79,950.64",17.00,"55,283.44",17.00,"52,065.55","6,533.77","9,981,840.00",152.09,97.5%,77.0%,2.1%,11.9%,0.4%,11.1%,99.9%,47.7%,90.7%,33.1%,100.0%,60.7%,100.0%,54.4%,100.0%,69.1%,100.0%,65.1%,City Large,21048.18092,Pacific
90272,0.7897012197,LosAngeles,"Los Angeles, CA",CA,2007,"  7,267 ","  1,881,596 ","85,205.18","128,968,790.00","6,779.00","1,495,788.65","6,755.00","586,967.94","6,169.00","433,897.34","64,481.10","97,428,400.00",471.00,"317,229.20",471.00,"136,017.12",468.00,"109,601.32","15,689.00","23,772,900.00",17.00,"68,577.86",17.00,"44,439.06",17.00,"41,125.47","5,035.08","7,767,490.00",258.92,93.3%,79.5%,6.5%,16.9%,0.2%,3.6%,99.6%,39.2%,91.0%,29.0%,100.0%,42.9%,99.4%,34.5%,100.0%,64.8%,100.0%,60.0%,City Large,1507.379675,Pacific
90274,1,LosAngeles,  -   ,CA,2007,"  11,849 ","  3,729,589 ","172,762.40","259,905,800.00","10,323.00","2,587,317.15","10,222.00","926,717.90","9,211.00","697,828.08","112,174.00","168,279,000.00","1,497.00","973,169.19","1,497.00","403,230.16","1,480.00","328,278.94","49,488.70","74,524,100.00",29.00,"169,102.68",29.00,"98,417.05",29.00,"89,740.63","11,099.70","17,102,700.00",314.76,87.1%,69.4%,12.6%,26.1%,0.2%,4.5%,99.0%,35.8%,89.2%,27.0%,100.0%,41.4%,98.9%,33.7%,100.0%,58.2%,100.0%,53.1%,Suburb Large,2106.987699,Pacific
