Battery,Biomass,Coal,Digester Gas,Gas,Geothermal,Hydro,Landfill Gas,MSW,Nuclear,Solar,Solar Thermal,Wind,Total
0.0,0.0,0.0,0.0,1356.3,0.0,0.9,1.5,0.0,2323.0,810.04,177.0,0.0,4668.74
0.0,80.0,0.0,0.0,748.0,0.0,0.0,11.96,0.0,0.0,0.0,0.0,0.0,839.96
0.0,0.0,50.0,0.0,186.82,0.0,0.975,7.289999999999999,0.9,0.0,45.332,0.0,0.0,291.317
4.8,1.0,0.0,0.0,1935.6799999999998,0.0,0.912,6.800000000000001,3.75,0.0,29.5,0.0,0.0,1982.4419999999998
0.0,0.0,0.0,0.0,28.92,0.0,0.0,4.78,0.0,0.0,2.5,0.0,0.0,36.2
0.0,186.9,0.0,6.8,809.9,0.0,2010.1599999999996,0.0,0.0,0.0,8.0,0.0,101.2,3122.959999999999
0.0,20.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,36.4
0.0,13.39,0.0,0.0,0.0,0.0,77.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,90.78999999999999
2.4,0.0,0.0,1.6,955.6450000000001,0.0,0.3,8.0,0.0,0.0,39.7,0.0,1200.5300000000002,2208.175
0.0,0.0,0.0,0.0,5.800000000000001,1479.4,2.88,24.599999999999998,0.0,0.0,14.700000000000001,0.0,0.0,1527.38
0.0,18.5,0.0,1.2,962.8,0.0,28.360000000000003,0.0,24.0,0.0,48.17,0.0,0.0,1083.0300000000002
0.0,0.0,0.0,0.0,819.14,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,822.39
0.0,24.0,0.0,0.0,44.86,0.0,21.430000000000003,0.0,4.0,0.0,9.0,0.0,1.0,104.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.2,298.2
0.0,11.0,0.0,0.0,0.0,0.0,157.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,168.20000000000002
0.0,9.2,0.0,0.15,62.480000000000004,0.0,40.36999999999999,1.8,1.955,0.0,317.71,0.0,0.0,433.66499999999996
0.0,32.5,0.0,0.0,0.0,0.0,790.41,0.0,0.0,0.0,1.5,0.0,0.0,824.41
0.0,0.0,0.0,1.5,2649.595,0.0,3.37,11.049999999999999,0.0,0.0,4.800000000000001,0.0,0.0,2670.315
0.0,28.25,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,13.7,0.0,1.0,45.8
0.0,18.0,0.0,0.0,0.0,0.0,365.2,3.2,0.0,0.0,2.5,0.0,0.0,388.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,243.0
