Longitude,Latitude,MW
-120.26618708,36.543670154761905,766.1
-117.21383188380952,34.000466508095236,103.09
-115.6121578368085,32.885354992765954,1637.7071949999997
-118.2966884379518,34.7485176246988,2308.26
-121.30417148512196,38.43403919585366,155.10999999999993
-119.43479367458333,35.59571058833333,275.44
-115.11186157,35.748468153333334,1051.09
-116.23041075555555,33.64375806138889,51.10872300000001
-113.026717878,33.260091712,854.0
-121.56503299833334,36.676490675000004,15.120000000000001
-120.71178319916667,35.59253725666667,12.290000000000001
-117.21242935400001,33.291762028,26.69
-114.86072473416667,33.64479697666667,843.63
-119.346178617,36.4683174365,43.029999999999994
-118.94788876941176,35.257152465588234,320.63
-118.38573029615384,34.13723581,30.598000000000003
-117.57001748529412,34.04264548205882,73.97999999999999
-117.40285685612903,34.532323737419354,120.75
-117.03306915499999,32.833808235,29.33
-120.70364882214285,37.11367624142857,409.0
-116.28457744238095,34.07070002095238,83.60525
-119.06565563571428,35.969726252142856,131.76
-119.73678569,36.208288043888885,381.3
-119.70330204421053,36.72427282631579,25.64
-118.05098965714285,35.210916329285716,664.28
-118.14512487809523,33.89262029095238,27.18
-116.86244176,34.71578733166667,85.3
-118.06384820657895,34.64371827394737,102.8
-119.8793477,35.59115922625,870.78
-120.14682753866667,36.05688542666667,452.22
