date,0,1,2,3,4,5,6
2020-03-15 00:00:00,8,7,11,14,7,5,14
2020-03-15 01:00:00,8,7,14,14,7,3,15
2020-03-15 02:00:00,7,7,13,14,6,3,15
2020-03-15 03:00:00,9,7,8,14,5,3,15
2020-03-15 04:00:00,6,8,15,14,5,3,15
2020-03-15 05:00:00,7,8,14,14,6,4,15
2020-03-15 06:00:00,6,6,6,13,4,4,15
2020-03-15 07:00:00,9,7,10,12,4,5,14
2020-03-15 08:00:00,10,8,6,13,6,5,13
2020-03-15 09:00:00,10,9,9,14,5,5,14
2020-03-15 10:00:00,10,10,14,17,8,6,15
2020-03-15 11:00:00,11,10,15,20,12,6,14
2020-03-15 12:00:00,12,9,17,22,15,6,14
2020-03-15 13:00:00,11,9,17,23,15,6,15
2020-03-15 14:00:00,11,10,16,23,15,6,16
2020-03-15 15:00:00,12,11,14,23,15,6,16
2020-03-15 16:00:00,12,11,17,23,16,7,17
2020-03-15 17:00:00,11,10,17,22,15,6,17
2020-03-15 18:00:00,11,8,13,21,14,7,16
2020-03-15 19:00:00,9,6,11,19,13,4,16
2020-03-15 20:00:00,6,5,13,14,13,3,14
2020-03-15 21:00:00,7,3,13,11,12,3,13
2020-03-15 22:00:00,7,3,9,10,11,3,14
2020-03-15 23:00:00,6,3,13,10,11,3,14
2020-03-16 00:00:00,6,3,13,10,9,3,14
2020-03-16 01:00:00,9,4,14,9,7,2,15
2020-03-16 02:00:00,7,4,13,9,7,3,15
2020-03-16 03:00:00,7,5,7,7,5,3,15
2020-03-16 04:00:00,5,5,15,7,5,3,15
2020-03-16 05:00:00,5,6,12,6,5,4,15
2020-03-16 06:00:00,6,6,11,6,5,4,15
2020-03-16 07:00:00,7,5,11,6,5,5,14
2020-03-16 08:00:00,7,5,13,6,4,5,13
2020-03-16 09:00:00,6,4,10,5,4,5,11
2020-03-16 10:00:00,7,3,12,7,5,5,11
2020-03-16 11:00:00,9,3,14,9,6,4,10
2020-03-16 12:00:00,8,3,12,10,8,5,12
2020-03-16 13:00:00,7,3,11,11,10,5,14
2020-03-16 14:00:00,6,4,11,11,12,4,15
2020-03-16 15:00:00,7,5,14,12,14,4,17
2020-03-16 16:00:00,11,4,14,13,14,4,18
2020-03-16 17:00:00,9,5,16,13,14,4,18
2020-03-16 18:00:00,6,6,17,12,14,4,19
2020-03-16 19:00:00,4,6,15,10,11,3,18
2020-03-16 20:00:00,3,5,14,7,10,2,18
2020-03-16 21:00:00,7,5,12,6,7,3,16
2020-03-16 22:00:00,6,4,14,7,7,4,16
2020-03-16 23:00:00,7,4,11,7,7,5,17
2020-03-17 00:00:00,6,4,11,7,7,5,21
2020-03-17 01:00:00,6,4,10,8,7,5,23
2020-03-17 02:00:00,7,4,14,9,6,5,22
2020-03-17 03:00:00,7,4,13,8,5,6,19
2020-03-17 04:00:00,7,4,16,9,4,6,16
2020-03-17 05:00:00,3,4,16,8,4,5,15
2020-03-17 06:00:00,4,3,16,8,4,5,16
2020-03-17 07:00:00,3,3,13,9,4,5,13
2020-03-17 08:00:00,5,3,13,8,4,6,13
2020-03-17 09:00:00,6,4,13,9,4,6,13
2020-03-17 10:00:00,5,4,12,13,5,7,13
2020-03-17 11:00:00,5,4,13,15,8,7,13
2020-03-17 12:00:00,4,5,11,17,11,7,14
2020-03-17 13:00:00,5,4,12,19,14,8,15
2020-03-17 14:00:00,6,4,12,21,18,9,15
2020-03-17 15:00:00,6,4,11,22,21,9,14
2020-03-17 16:00:00,7,4,11,21,21,8,14
2020-03-17 17:00:00,6,3,11,21,22,8,14
2020-03-17 18:00:00,5,4,11,20,21,7,14
2020-03-17 19:00:00,4,5,11,17,20,7,14
2020-03-17 20:00:00,4,4,10,15,17,6,13
2020-03-17 21:00:00,5,4,7,11,15,6,13
2020-03-17 22:00:00,6,4,10,11,15,6,14
2020-03-17 23:00:00,6,4,8,10,15,5,15
2020-03-18 00:00:00,6,4,9,9,16,6,16
2020-03-18 01:00:00,9,4,8,9,15,6,16
2020-03-18 02:00:00,8,3,9,10,14,5,14
2020-03-18 03:00:00,8,3,7,10,12,6,12
2020-03-18 04:00:00,6,3,6,9,11,6,11
2020-03-18 05:00:00,7,3,9,8,11,6,9
2020-03-18 06:00:00,9,3,6,8,10,6,6
2020-03-18 07:00:00,9,3,5,8,10,5,4
2020-03-18 08:00:00,8,3,6,8,10,5,7
2020-03-18 09:00:00,9,3,6,8,12,5,8
2020-03-18 10:00:00,10,3,5,8,14,5,7
2020-03-18 11:00:00,7,3,6,8,16,5,5
2020-03-18 12:00:00,8,3,2,9,17,4,3
2020-03-18 13:00:00,9,3,5,10,20,4,5
2020-03-18 14:00:00,10,3,6,11,21,4,5
2020-03-18 15:00:00,11,4,7,11,21,4,7
2020-03-18 16:00:00,14,4,9,9,18,4,9
2020-03-18 17:00:00,13,3,9,8,14,2,11
2020-03-18 18:00:00,11,3,11,6,10,2,12
2020-03-18 19:00:00,14,3,13,6,7,2,13
2020-03-18 20:00:00,15,2,12,4,8,2,18
2020-03-18 21:00:00,15,2,14,3,7,3,20
2020-03-18 22:00:00,16,3,8,2,9,3,20
2020-03-18 23:00:00,15,3,11,2,11,4,22
2020-03-19 00:00:00,12,2,15,3,12,4,23
2020-03-19 01:00:00,11,3,14,4,17,5,24
2020-03-19 02:00:00,8,2,16,4,22,4,23
2020-03-19 03:00:00,7,2,16,4,24,4,23
2020-03-19 04:00:00,8,2,10,4,24,4,22
2020-03-19 05:00:00,4,2,13,3,23,4,20
2020-03-19 06:00:00,5,2,13,3,25,5,19
2020-03-19 07:00:00,5,2,14,3,25,5,17
2020-03-19 08:00:00,3,2,15,4,26,4,16
2020-03-19 09:00:00,6,2,15,4,28,4,16
2020-03-19 10:00:00,5,3,14,5,29,4,17
2020-03-19 11:00:00,5,4,13,6,30,4,15
2020-03-19 12:00:00,6,4,14,7,31,4,15
2020-03-19 13:00:00,9,4,11,8,31,4,16
2020-03-19 14:00:00,8,4,11,8,31,3,18
